#run	A	B	C	X	Y	Z
dec24_0	-	40.75	9.25	9.25	-	67.75
dec24_1	67.75	40.75	9.25	9.25	-	67.75
dec24_2	67.75	40.75	9.25	9.25	40.75	67.75
dec29_0	67.75	25.75	9.25	9.25	40.75	67.75
dec29_1	67.75	25.75	9.25	9.25	40.75	67.75
dec29_3	67.75	50.25	9.25	9.25	40.75	67.75
dec29_4	67.75	50.25	9.25	9.25	40.75	67.75
mar9_23	67.75	20.25	9.25	9.25	40.75	67.75
mar9_28	67.75	25.25	9.25	9.25	40.75	67.75
mar9_38	67.75	35.25	9.25	9.25	40.75	67.75
mar9_53	67.75	50.25	9.25	9.25	40.75	67.75
aug9_33	67.75	20.25	9.25	9.25	40.75	67.75
aug9_23	67.75	20.25	9.25	9.25	40.75	67.75
aug9_B23_C6.5	67.75	20.25	3.75	9.25	40.75	67.75
aug9_B33_C6.5	67.75	20.25	3.75	9.25	40.75	67.75
aug9_B43_C6.5	67.75	20.25	3.75	9.25	40.75	67.75
aug9_B53_C6.5	67.75	20.25	3.75	9.25	40.75	67.75
