# chan run trig mpl chi2 ndf
0 53 Ax 952.32 35.53 40
0 53 AX 956.36 36.58 40
0 53 Az 808.26 48.56 40
0 53 AZ 816.36 46.70 40
1 53 Ax 967.73 37.54 40
1 53 AX 975.87 23.83 40
1 53 Az 840.02 36.18 40
1 53 AZ 848.72 53.77 41
2 53 Bx 955.30 47.18 39
2 53 BX 947.33 42.19 39
2 53 Bz 828.97 46.16 40
2 53 BZ 836.14 44.12 40
3 53 Bx 942.87 27.42 39
3 53 BX 950.23 26.29 39
3 53 Bz 779.65 50.00 40
3 53 BZ 803.61 41.96 40
4 53 Cx 1036.15 59.46 40
4 53 CX 1029.66 47.57 40
4 53 Cz 984.56 48.56 40
4 53 CZ 869.12 57.83 40
5 53 Cx 1012.94 38.22 37
5 53 CX 1013.44 47.40 37
5 53 Cz -15697843946.93 462.20 37
5 53 CZ 841.35 43.59 37
8 53 AX 817.40 28.06 38
8 53 BX 793.09 29.65 39
8 53 CX 905.47 64.71 38
9 53 Ax 835.26 28.73 38
9 53 Bx 873.17 45.12 39
9 53 Cx 969.24 44.10 38
10 53 AX 781.66 45.87 40
10 53 BX 791.13 55.37 40
10 53 CX 886.71 46.18 39
11 53 Ax 864.21 41.45 39
11 53 Bx 871.56 36.51 38
11 53 Cx 978.03 30.53 38
12 53 AZ 854.70 26.91 39
12 53 BZ 845.87 56.40 40
12 53 CZ 932.21 32.06 40
13 53 Az 778.62 56.10 41
13 53 Bz 779.72 49.53 40
13 53 Cz 884.25 30.02 40
14 53 AZ 692.83 50.18 40
14 53 BZ 703.22 33.38 40
14 53 CZ 803.86 40.29 40
15 53 Az 889.31 59.90 38
15 53 Bz 850.14 51.97 38
15 53 Cz 946.18 38.69 38
0 28 Ax 969.64 55.34 34
0 28 AX 965.35 59.48 34
0 28 Az 806.14 99.45 36
0 28 AZ 809.83 117.97 36
1 28 Ax 958.58 69.53 34
1 28 AX 954.52 74.72 34
1 28 Az 831.31 74.09 36
1 28 AZ 836.86 70.99 36
2 28 Bx 948.25 102.81 34
2 28 BX 947.32 84.55 35
2 28 Bz 819.30 118.32 36
2 28 BZ 820.06 127.15 36
3 28 Bx 1009.52 54.61 34
3 28 BX 1005.46 50.06 34
3 28 Bz 801.51 109.97 36
3 28 BZ 804.41 118.56 36
4 28 Cx 992.73 41.61 34
4 28 CX 997.43 48.02 35
4 28 Cz 993.59 26.57 34
4 28 CZ 994.38 27.82 35
5 28 Cx 988.97 55.19 34
5 28 CX 982.88 56.80 34
5 28 Cz 822.13 68.89 36
5 28 CZ 836.35 66.15 36
8 28 AX 897.05 39.93 35
8 28 BX 885.79 38.36 36
8 28 CX 898.22 28.15 35
9 28 Ax 935.58 32.33 35
9 28 Bx 963.26 38.20 34
9 28 Cx 960.49 39.69 35
10 28 AX 898.66 33.15 36
10 28 BX 897.31 30.20 35
10 28 CX 894.81 36.41 35
11 28 Ax 992.91 45.34 34
11 28 Bx 981.56 31.12 34
11 28 Cx 990.81 31.56 34
12 28 AZ 942.38 29.86 35
12 28 BZ 928.57 23.87 35
12 28 CZ 926.56 54.54 35
13 28 Az 860.86 38.36 35
13 28 Bz 861.24 31.92 36
13 28 Cz 856.79 53.11 35
14 28 AZ 1042.88 54.79 34
14 28 BZ 1040.71 49.66 34
14 28 CZ 1034.57 42.21 34
15 28 Az 927.45 30.20 35
15 28 Bz 931.75 38.69 35
15 28 Cz 919.22 24.51 35
0 38 Ax 963.35 24.45 35
0 38 AX 960.14 44.10 34
0 38 Az 824.37 42.44 36
0 38 AZ 817.35 50.50 36
1 38 Ax 961.02 30.22 34
1 38 AX 961.57 27.89 35
1 38 Az 884.64 40.62 35
1 38 AZ 865.38 24.56 36
2 38 Bx 944.61 36.73 34
2 38 BX 939.09 42.74 35
2 38 Bz 837.07 40.36 36
2 38 BZ 835.07 49.75 36
3 38 Bx 966.71 47.92 35
3 38 BX 976.97 54.99 34
3 38 Bz 811.89 43.02 36
3 38 BZ 810.18 44.42 36
4 38 Cx 1039.01 40.02 33
4 38 CX 1038.04 30.28 34
4 38 Cz 862.71 42.94 35
4 38 CZ 867.58 41.62 35
5 38 Cx 1000.43 29.31 34
5 38 CX 1012.95 44.59 34
5 38 Cz 838.20 35.42 36
5 38 CZ 846.19 57.97 36
8 38 AX 799.01 43.44 36
8 38 BX 831.58 42.63 36
8 38 CX 927.09 46.78 35
9 38 Ax 849.86 47.29 36
9 38 Bx 897.23 64.21 35
9 38 Cx 987.92 37.46 34
10 38 AX 773.34 41.40 37
10 38 BX 809.83 33.97 36
10 38 CX 878.85 30.39 35
11 38 Ax 831.69 38.50 36
11 38 Bx 890.95 29.63 35
11 38 Cx 966.04 34.26 34
12 38 AZ 828.99 40.20 35
12 38 BZ 865.06 47.38 35
12 38 CZ 933.85 32.05 35
13 38 Az 759.47 53.18 36
13 38 Bz 785.50 34.35 36
13 38 Cz 900.68 48.06 35
14 38 AZ 933.25 38.47 35
14 38 BZ 989.90 30.05 35
14 38 CZ 1076.66 25.85 33
15 38 Az 829.49 36.75 36
15 38 Bz 906.09 61.41 35
15 38 Cz 956.16 45.01 35
0 23 Ax 962.91 36.62 34
0 23 AX 968.15 44.38 35
0 23 Az 815.67 36.25 36
0 23 AZ 816.81 62.85 36
1 23 Ax 968.13 54.58 34
1 23 AX 966.19 43.74 34
1 23 Az 849.72 48.44 36
1 23 AZ 849.12 41.89 36
2 23 Bx 968.97 44.77 35
2 23 BX 980.95 30.74 34
2 23 Bz 822.86 70.68 36
2 23 BZ 823.66 47.21 36
3 23 Bx 996.42 44.21 34
3 23 BX 999.71 61.67 34
3 23 Bz 826.40 55.13 36
3 23 BZ 815.50 40.74 36
4 23 Cx 997.06 37.24 34
4 23 CX 980.67 25.64 34
4 23 Cz 997.12 43.23 34
4 23 CZ 977.59 64.37 35
5 23 Cx 1012.47 34.08 34
5 23 CX 1011.22 45.83 34
5 23 Cz 842.69 45.71 36
5 23 CZ 841.31 41.60 36
8 23 AX 883.07 26.73 35
8 23 BX 883.59 42.98 36
8 23 CX 877.99 45.40 36
9 23 Ax 958.58 44.41 35
9 23 Bx 967.75 26.63 34
9 23 Cx 973.28 33.72 34
10 23 AX 893.51 49.48 35
10 23 BX 842.04 27.21 36
10 23 CX 900.27 40.24 35
11 23 Ax 980.32 52.54 35
11 23 Bx 1000.61 41.29 34
11 23 Cx 979.25 30.09 34
12 23 AZ 930.02 23.89 35
12 23 BZ 917.48 49.50 35
12 23 CZ 933.59 30.30 35
13 23 Az 864.47 30.17 35
13 23 Bz 851.07 38.39 36
13 23 Cz 845.54 42.71 35
14 23 AZ 1037.11 56.56 34
14 23 BZ 1034.62 40.01 34
14 23 CZ 1054.64 44.31 34
15 23 Az 952.23 31.52 34
15 23 Bz 946.89 36.87 35
15 23 Cz 952.03 18.08 34
